customer_id,customer_name,total_orders,statuses_seen
C0477,Jeffrey Roberson,2,PLACED
C0496,Rachael Nguyen,2,"RETURNED,SHIPPED"
C0513,Megan Martin,2,SHIPPED
C0515,Jared Lopez,2,"CANCELLED,SHIPPED"
C0553,William Patterson,2,"PLACED,SHIPPED"
C0568,Lawrence Lopez,2,"PLACED,CANCELLED"
C0584,Shelley Quinn,2,PLACED
C0606,Dillon Jones,2,"CANCELLED,SHIPPED"
C0633,Sara Cochran,2,"SHIPPED,PLACED"
C0639,Gabrielle Morris,2,SHIPPED
C0640,Toni Banks,2,"RETURNED,SHIPPED"
C0658,Anthony Armstrong,2,"CANCELLED,RETURNED"
C0688,Richard Warren,2,"SHIPPED,PLACED"
C0695,Maria Byrd,2,"CANCELLED,PLACED"
C0700,Michael Holloway,2,PLACED
C0734,James Kelley,2,PLACED
C0753,Mr. Stephen Alexander,2,"PLACED,RETURNED"
C0755,Tyler Marks,2,"RETURNED,SHIPPED"
C0758,Timothy Wagner,2,SHIPPED
C0004,Michelle Miles,1,SHIPPED
C0007,Brent Abbott,1,PLACED
C0015,Sarah Parsons,1,SHIPPED
C0032,Tanya Campos,1,RETURNED
C0035,Julian Chapman,1,CANCELLED
C0037,David Caldwell,1,PLACED
C0061,Brian Tran,1,PLACED
C0072,Evelyn Galvan,1,PLACED
C0078,Victoria Johnson,1,RETURNED
C0087,Jeffrey Carpenter,1,SHIPPED
C0101,Christian Lewis,1,PLACED
C0102,John Brown,1,SHIPPED
C0120,Raymond Jefferson,1,PLACED
C0129,David Ramirez,1,SHIPPED
C0132,Anna Walker,1,SHIPPED
C0139,Beth Williams,1,CANCELLED
C0140,Tony Little,1,PLACED
C0150,Kirk Carter,1,PLACED
C0151,Michele Gibson,1,SHIPPED
C0159,Sydney White,1,PLACED
C0177,Cynthia Rowe,1,PLACED
C0199,Stephanie Lucas,1,RETURNED
C0203,Elizabeth Harrell,1,SHIPPED
C0236,Ronald Davis,1,PLACED
C0241,Brian Bruce,1,SHIPPED
C0243,Timothy Gallegos,1,SHIPPED
C0246,Mark Johnson,1,CANCELLED
C0250,Jeff Lawson,1,PLACED
C0251,Jose Reed,1,PLACED
C0258,Shannon Johnston,1,CANCELLED
C0274,Tina Hayes,1,SHIPPED
C0278,Brandon Gregory,1,PLACED
C0284,Trevor Peterson,1,SHIPPED
C0288,Michael Weber,1,CANCELLED
C0296,Christopher Cole,1,SHIPPED
C0297,Anna Lozano,1,PLACED
C0299,Brad Walker,1,PLACED
C0318,Paul Lee,1,SHIPPED
C0323,Erica Miller,1,RETURNED
C0330,Meghan Rush,1,CANCELLED
C0343,Maria Cole,1,PLACED
C0354,Benjamin Brown,1,SHIPPED
C0372,Emily Long,1,SHIPPED
C0374,Robert Richardson,1,CANCELLED
C0376,Deborah Rios,1,PLACED
C0389,Jeremy Scott,1,SHIPPED
C0390,Joshua Fitzpatrick,1,PLACED
C0418,Katherine Nolan,1,RETURNED
C0437,Jessica Simpson,1,PLACED
C0442,Gary Miller,1,RETURNED
C0448,Patricia James,1,SHIPPED
C0452,Juan Silva,1,PLACED
C0453,Craig Hall,1,SHIPPED
C0456,Thomas Weaver DDS,1,SHIPPED
C0458,Jennifer Kirby,1,SHIPPED
C0459,Alexa Wagner,1,PLACED
C0468,Angela Bruce,1,RETURNED
C0474,Elizabeth Elliott,1,SHIPPED
C0480,Luke Yates,1,SHIPPED
C0507,Melissa Walker,1,RETURNED
C0512,Andrew Page,1,RETURNED
C0518,Rebecca Herrera,1,CANCELLED
C0531,Carol Ellis,1,CANCELLED
C0537,Leah Bell,1,PLACED
C0551,Stephanie Farmer,1,RETURNED
C0555,Danielle Watson,1,PLACED
C0556,Mario Barber,1,SHIPPED
C0577,Jorge Harris,1,SHIPPED
C0581,Patrick Yang,1,RETURNED
C0603,Angela Davis,1,PLACED
C0625,Kathryn Price,1,SHIPPED
C0637,Kevin Stark,1,SHIPPED
C0678,Sherry Baker,1,RETURNED
C0684,Patrick Schroeder,1,PLACED
C0691,John Sanders,1,CANCELLED
C0692,John Griffin,1,SHIPPED
C0696,Sharon Coffey,1,SHIPPED
C0698,Robert Torres,1,SHIPPED
C0707,Deanna Barnes MD,1,SHIPPED
C0711,Catherine Frazier,1,SHIPPED
C0713,Kevin Ford,1,PLACED
C0719,Cassandra Walters,1,CANCELLED
C0737,Ashley Higgins,1,SHIPPED
C0738,Brian Gonzalez,1,PLACED
C0746,Stefanie Smith,1,PLACED
C0766,Sarah Rivera,1,CANCELLED
C0775,Amber Mcconnell,1,RETURNED
C0786,Ryan Stokes,1,PLACED
C0790,Jesse Jensen,1,SHIPPED
C0799,Christopher Singleton,1,PLACED
